 - - - - - NÚMERO DE EVENTOS POR CÓDIGO POSTAL (CSV) - - - - - 
cód. postal:  - 38 eventos.
cód. postal: 28019 - 12 eventos.
cód. postal: 28017 - 13 eventos.
cód. postal: 28039 - 25 eventos.
cód. postal: 28011 - 39 eventos.
cód. postal: 28033 - 3 eventos.
cód. postal: 28034 - 8 eventos.
cód. postal: 28012 - 40 eventos.
cód. postal: 28031 - 37 eventos.
cód. postal: 28053 - 14 eventos.
cód. postal: 28032 - 23 eventos.
cód. postal: 28015 - 59 eventos.
cód. postal: 28037 - 25 eventos.
cód. postal: 28038 - 4 eventos.
cód. postal: 28016 - 3 eventos.
cód. postal: 28035 - 25 eventos.
cód. postal: 28013 - 1 eventos.
cód. postal: 28014 - 32 eventos.
cód. postal: 28036 - 1 eventos.
cód. postal: 28051 - 1 eventos.
cód. postal: 28030 - 1 eventos.
cód. postal: 28050 - 9 eventos.
cód. postal: 28008 - 2 eventos.
cód. postal: 28009 - 61 eventos.
cód. postal: 28028 - 3 eventos.
cód. postal: 28029 - 41 eventos.
cód. postal: 28007 - 21 eventos.
cód. postal: 28044 - 22 eventos.
cód. postal: 28022 - 45 eventos.
cód. postal: 28001 - 35 eventos.
cód. postal: 28045 - 109 eventos.
cód. postal: 28023 - 3 eventos.
cód. postal: 28020 - 9 eventos.
cód. postal: 28042 - 10 eventos.
cód. postal: 28043 - 15 eventos.
cód. postal: 28021 - 19 eventos.
cód. postal: 28026 - 66 eventos.
cód. postal: 28004 - 21 eventos.
cód. postal: 28048 - 7 eventos.
cód. postal: 28027 - 13 eventos.
cód. postal: 28049 - 33 eventos.
cód. postal: 28005 - 18 eventos.
cód. postal: 28024 - 18 eventos.
cód. postal: 28002 - 16 eventos.
cód. postal: 28047 - 9 eventos.
cód. postal: 28025 - 1 eventos.
cód. postal: 28041 - 31 eventos.

